TOKEN	FORMAT	TOK_COUNT	TOK_FRAC	DOC_COUNT	DOC_FRAC
Abigail	S	94	0.000138719	54	0.000531836
ABIH	U	25	3.68933e-05	19	0.000187128
Abilio	S	160	0.000236117	78	0.000768208
Abílio	S	139	0.000205127	93	0.00091594
Abimael	S	25	3.68933e-05	15	0.000147732
Abimaq	S	42	6.19807e-05	31	0.000305313
Abin	S	1152	0.00170004	334	0.00328951
ABIN	U	55	8.11652e-05	35	0.000344709
Abinee	S	29	4.27962e-05	12	0.000118186
Abinoan	S	28	4.13205e-05	27	0.000265918
Abiove	S	28	4.13205e-05	17	0.00016743
Abiquim	S	38	5.60778e-05	16	0.000157581
abismada	L	13	1.91845e-05	12	0.000118186
abismado	L	17	2.50874e-05	16	0.000157581
abismo	L	654	0.000965128	609	0.00599793
abismos	L	42	6.19807e-05	36	0.000354558
abissais	L	19	2.80389e-05	19	0.000187128
abissal	L	32	4.72234e-05	32	0.000315162
Abit	S	17	2.50874e-05	13	0.000128035
ABJD	U	36	5.31263e-05	28	0.000275767
abjeção	L	20	2.95146e-05	20	0.000196976
abjeta	L	42	6.19807e-05	42	0.00041365
abjetas	L	17	2.50874e-05	17	0.00016743
abjeto	L	42	6.19807e-05	41	0.000403802
abjetos	L	21	3.09904e-05	21	0.000206825
ABL	U	180	0.000265632	86	0.000846999
ablação	L	14	2.06602e-05	11	0.000108337
able	L	28	4.13205e-05	21	0.000206825
Abloh	S	43	6.34565e-05	12	0.000118186
ABN	U	13	1.91845e-05	12	0.000118186
abnegação	L	21	3.09904e-05	20	0.000196976
abnegada	L	17	2.50874e-05	17	0.00016743
abnegado	L	14	2.06602e-05	13	0.000128035
abnegados	L	24	3.54176e-05	24	0.000236372
Abner	S	93	0.000137243	61	0.000600778
ABNT	U	62	9.14954e-05	44	0.000433348
abobalhado	L	11	1.6233e-05	11	0.000108337
abóbora	L	307	0.00045305	166	0.0016349
abóboras	L	22	3.24661e-05	20	0.000196976
abobrinha	L	160	0.000236117	88	0.000866696
abobrinhas	L	33	4.86991e-05	19	0.000187128
abocanha	L	31	4.57477e-05	29	0.000285616
abocanhar	L	55	8.11652e-05	53	0.000521987
abocanhou	L	28	4.13205e-05	28	0.000275767
abolição	L	432	0.000637516	339	0.00333875
abolicionista	L	83	0.000122486	72	0.000709115
abolicionistas	L	27	3.98448e-05	22	0.000216674
abolida	L	36	5.31263e-05	33	0.000325011
abolidas	L	13	1.91845e-05	13	0.000128035
abolido	L	23	3.39418e-05	22	0.000216674
abolindo	L	11	1.6233e-05	11	0.000108337
abolir	L	152	0.000224311	129	0.0012705
aboliu	L	42	6.19807e-05	38	0.000374255
abomina	L	23	3.39418e-05	23	0.000226523
abomináveis	L	31	4.57477e-05	30	0.000295465
abominável	L	62	9.14954e-05	60	0.000590929
abono	L	956	0.0014108	466	0.00458955
abonos	L	40	5.90293e-05	34	0.00033486
aborda	L	2012	0.00296917	1546	0.0152263
abordada	L	348	0.000513555	322	0.00317132
abordadas	L	176	0.000259729	168	0.0016546
abordado	L	3932	0.00580258	3817	0.0375929
abordados	L	1001	0.00147721	951	0.00936623
abordagem	L	3798	0.00560483	2858	0.0281479
abordagens	L	694	0.00102416	593	0.00584035
abordá-lo	LH	18	2.65632e-05	18	0.000177279
abordam	L	326	0.000481088	310	0.00305313
abordamos	L	43	6.34565e-05	41	0.000403802
abordando	L	309	0.000456001	299	0.0029448
abordar	L	1227	0.00181072	1136	0.0111883
abordará	L	126	0.000185942	119	0.00117201
abordaram	L	198	0.000292195	176	0.00173339
abordarão	L	21	3.09904e-05	21	0.000206825
abordarem	L	16	2.36117e-05	16	0.000157581
abordaremos	L	23	3.39418e-05	22	0.000216674
abordava	L	55	8.11652e-05	52	0.000512139
abordavam	L	19	2.80389e-05	19	0.000187128
aborde	L	40	5.90293e-05	37	0.000364406
abordei	L	16	2.36117e-05	16	0.000157581
abordem	L	29	4.27962e-05	28	0.000275767
abordou	L	558	0.000823458	525	0.00517063
aborígenes	L	14	2.06602e-05	11	0.000108337
aborrece	L	23	3.39418e-05	23	0.000226523
aborrecer	L	18	2.65632e-05	18	0.000177279
aborrecida	L	14	2.06602e-05	14	0.000137883
aborrecido	L	27	3.98448e-05	23	0.000226523
aborrecimento	L	40	5.90293e-05	39	0.000384104
aborrecimentos	L	17	2.50874e-05	16	0.000157581
aborta	L	22	3.24661e-05	19	0.000187128
abortada	L	29	4.27962e-05	24	0.000236372
abortado	L	52	7.6738e-05	49	0.000482592
abortamento	L	33	4.86991e-05	24	0.000236372
abortar	L	92	0.000135767	80	0.000787906
abortaram	L	11	1.6233e-05	11	0.000108337
abortiva	L	24	3.54176e-05	11	0.000108337
abortivas	L	25	3.68933e-05	16	0.000157581
abortivo	L	14	2.06602e-05	14	0.000137883
abortivos	L	16	2.36117e-05	13	0.000128035
aborto	L	3253	0.00480055	1194	0.0117595
abortos	L	200	0.000295146	128	0.00126065
abortou	L	15	2.2136e-05	14	0.000137883
abotoaduras	L	61	9.00196e-05	46	0.000453046
Aboubakar	S	20	2.95146e-05	12	0.000118186
about	L	214	0.000315807	132	0.00130004
above	L	21	3.09904e-05	13	0.000128035
ABP	U	18	2.65632e-05	15	0.000147732
ABPA	U	139	0.000205127	106	0.00104397
abr	L	28	4.13205e-05	16	0.000157581
abra	L	699	0.00103154	574	0.00565322
Abraão	S	134	0.000197748	99	0.000975033
abraça	L	310	0.000457477	282	0.00277737
abraçada	L	116	0.000171185	103	0.00101443
Abracadabra	S	36	5.31263e-05	20	0.000196976
abraçadas	L	30	4.42719e-05	27	0.000265918
abraçado	L	142	0.000209554	136	0.00133944
abraçados	L	78	0.000115107	73	0.000718964
abraçá-la	LH	27	3.98448e-05	25	0.000246221
abraçá-lo	LH	15	2.2136e-05	15	0.000147732
abraçam	L	131	0.000193321	125	0.0012311
abraçamos	L	25	3.68933e-05	22	0.000216674
abraçando	L	142	0.000209554	137	0.00134929
abraçar	L	694	0.00102416	650	0.00640173
abraçará	L	16	2.36117e-05	16	0.000157581
abraçaram	L	102	0.000150525	101	0.000994731
abraçarmos	L	12	1.77088e-05	12	0.000118186
abraçava	L	18	2.65632e-05	17	0.00016743
abrace	L	73	0.000107728	70	0.000689417
abracei	L	23	3.39418e-05	23	0.000226523
abracem	L	11	1.6233e-05	11	0.000108337
Abraciclo	S	40	5.90293e-05	15	0.000147732
abraço	L	738	0.00108909	610	0.00600778
abraços	L	206	0.000304001	174	0.00171369
abraçou	L	288	0.000425011	276	0.00271827
Abradee	S	89	0.00013134	63	0.000620476
Abradep	S	28	4.13205e-05	20	0.000196976
Abrafarma	S	35	5.16506e-05	20	0.000196976
Abragames	S	20	2.95146e-05	13	0.000128035
Abraham	S	318	0.000469283	218	0.00214704
Abrahamson	S	14	2.06602e-05	11	0.000108337
Abrahão	S	187	0.000275962	135	0.00132959
Abrainc	S	29	4.27962e-05	17	0.00016743
Abraji	S	97	0.000143146	66	0.000650022
abram	L	75	0.00011068	72	0.000709115
Abramed	S	25	3.68933e-05	14	0.000137883
Abramge	S	50	7.37866e-05	24	0.000236372
Abramo	S	92	0.000135767	69	0.000679569
Abramovay	S	20	2.95146e-05	16	0.000157581
Abramovich	S	43	6.34565e-05	17	0.00016743
Abrams	S	60	8.85439e-05	37	0.000364406
Abran	S	32	4.72234e-05	26	0.000256069
ABRAN	U	27	3.98448e-05	26	0.000256069
Abranches	S	26	3.8369e-05	24	0.000236372
abranda	L	14	2.06602e-05	12	0.000118186
abrandamento	L	44	6.49322e-05	38	0.000374255
abrandar	L	32	4.72234e-05	32	0.000315162
Abranet	S	17	2.50874e-05	11	0.000108337
abrange	L	1012	0.00149344	947	0.00932683
abrangem	L	265	0.000391069	260	0.00256069
abrangência	L	399	0.000588817	369	0.00363421
abrangendo	L	304	0.000448622	295	0.0029054
abrangente	L	663	0.00097841	612	0.00602748
abrangentes	L	164	0.00024202	156	0.00153642
abranger	L	177	0.000261204	173	0.00170385
abrangerá	L	40	5.90293e-05	40	0.000393953
abrangeria	L	21	3.09904e-05	21	0.000206825
abrangeu	L	61	9.00196e-05	59	0.00058108
abrangia	L	25	3.68933e-05	23	0.000226523
abrangida	L	21	3.09904e-05	19	0.000187128
abrangidas	L	39	5.75535e-05	36	0.000354558
abrangido	L	22	3.24661e-05	19	0.000187128
abrangidos	L	78	0.000115107	72	0.000709115
abranja	L	19	2.80389e-05	19	0.000187128
Abrantes	S	67	9.8874e-05	38	0.000374255
Abrão	S	262	0.000386642	139	0.00136899
Abrapa	S	39	5.75535e-05	17	0.00016743
Abras	S	118	0.000174136	78	0.000768208
Abrasco	S	63	9.29711e-05	47	0.000462895
Abrasel	S	116	0.000171185	63	0.000620476
abrasileirar	L	15	2.2136e-05	13	0.000128035
abrasivos	L	19	2.80389e-05	13	0.000128035
Abrava	S	18	2.65632e-05	15	0.000147732
Abravanel	S	773	0.00114074	467	0.0045994
abre	L	9044	0.0133465	7273	0.0716305
abre-alas	LH	48	7.08351e-05	35	0.000344709
abrem	L	921	0.00135915	837	0.00824346
abrem-se	LH	17	2.50874e-05	17	0.00016743
abre-se	LH	70	0.000103301	68	0.00066972
Abreu	S	1366	0.00201585	896	0.00882454
ABREU	U	14	2.06602e-05	11	0.000108337
Abreulândia	S	17	2.50874e-05	11	0.000108337
abreviação	L	88	0.000129864	73	0.000718964
abreviações	L	17	2.50874e-05	14	0.000137883
abreviada	L	17	2.50874e-05	17	0.00016743
abreviado	L	27	3.98448e-05	27	0.000265918
abreviar	L	56	8.2641e-05	51	0.00050229
abreviatura	L	21	3.09904e-05	16	0.000157581
abreviou	L	13	1.91845e-05	13	0.000128035
abri	L	164	0.00024202	159	0.00156596
abria	L	148	0.000218408	139	0.00136899
abriam	L	35	5.16506e-05	33	0.000325011
abridor	L	16	2.36117e-05	13	0.000128035
abriga	L	1008	0.00148754	854	0.00841089
abrigada	L	51	7.52623e-05	48	0.000472743
abrigadas	L	72	0.000106253	70	0.000689417
abrigado	L	77	0.000113631	70	0.000689417
abrigados	L	122	0.000180039	104	0.00102428
abrigam	L	190	0.000280389	177	0.00174324
abrigamento	L	29	4.27962e-05	23	0.000226523
abrigando	L	101	0.000149049	97	0.000955336
abrigar	L	747	0.00110237	676	0.0066578
abrigará	L	72	0.000106253	64	0.000630325
abrigaram	L	23	3.39418e-05	23	0.000226523
abrigarem	L	15	2.2136e-05	15	0.000147732
abrigaria	L	13	1.91845e-05	12	0.000118186
abrigava	L	105	0.000154952	96	0.000945487
abrigavam	L	26	3.8369e-05	26	0.000256069
abrigo	L	1271	0.00187565	914	0.00900182
abrigos	L	762	0.00112451	509	0.00501305
abrigou	L	127	0.000187418	120	0.00118186
abrigue	L	32	4.72234e-05	31	0.000305313
abril	L	17117	0.0252601	10935	0.107697
abri-la	LH	16	2.36117e-05	15	0.000147732
abrilhantar	L	11	1.6233e-05	11	0.000108337
abri-lo	LH	29	4.27962e-05	26	0.000256069
abrimos	L	130	0.000191845	126	0.00124095
abrindo	L	1187	0.00175169	1147	0.0112966
abrir	L	7574	0.0111772	6399	0.0630226
abrirá	L	548	0.000808701	517	0.00509184
abriram	L	707	0.00104334	668	0.00657901
abrirão	L	115	0.000169709	97	0.000955336
abrirem	L	140	0.000206602	138	0.00135914
abriremos	L	19	2.80389e-05	18	0.000177279
abriria	L	164	0.00024202	163	0.00160536
abririam	L	19	2.80389e-05	19	0.000187128
abrirmos	L	20	2.95146e-05	19	0.000187128
abrir-se	LH	17	2.50874e-05	16	0.000157581
abrisse	L	101	0.000149049	98	0.000965184
abrissem	L	29	4.27962e-05	29	0.000285616
Abritta	S	32	4.72234e-05	20	0.000196976
abriu	L	4648	0.0068592	4030	0.0396907
abriu-se	LH	31	4.57477e-05	30	0.000295465
abro	L	87	0.000128389	83	0.000817452
Abrolhos	S	59	8.70682e-05	18	0.000177279
abrupta	L	234	0.000345321	213	0.0020978
abruptamente	L	121	0.000178564	119	0.00117201
abruptas	L	49	7.23108e-05	49	0.000482592
abrupto	L	76	0.000112156	72	0.000709115
abruptos	L	21	3.09904e-05	19	0.000187128
ABS	U	133	0.000196272	76	0.00074851
abscesso	L	24	3.54176e-05	15	0.000147732
absenteísmo	L	44	6.49322e-05	36	0.000354558
Absolar	S	43	6.34565e-05	19	0.000187128
Absolut	S	19	2.80389e-05	14	0.000137883
absoluta	L	1482	0.00218703	1278	0.0125868
absolutamente	L	1848	0.00272715	1667	0.016418
absolutas	L	53	7.82138e-05	51	0.00050229
absolutely	L	46	6.78837e-05	46	0.000453046
absolutismo	L	55	8.11652e-05	52	0.000512139
absolutista	L	31	4.57477e-05	30	0.000295465
absoluto	L	950	0.00140195	873	0.00859802
absolutória	L	13	1.91845e-05	13	0.000128035
absolutos	L	321	0.00047371	290	0.00285616
absolve	L	104	0.000153476	97	0.000955336
absolvê-lo	LH	14	2.06602e-05	14	0.000137883
absolvendo	L	16	2.36117e-05	16	0.000157581
absolver	L	91	0.000134292	84	0.000827301
absolveram	L	16	2.36117e-05	14	0.000137883
absolveu	L	151	0.000222835	119	0.00117201
absolvição	L	519	0.000765905	354	0.00348648
absolvições	L	14	2.06602e-05	12	0.000118186
absolvida	L	48	7.08351e-05	40	0.000393953
absolvidas	L	11	1.6233e-05	11	0.000108337
absolvido	L	439	0.000647846	376	0.00370316
absolvidos	L	322	0.000475186	265	0.00260994
absorção	L	599	0.000883963	449	0.00442212
absorta	L	15	2.2136e-05	15	0.000147732
absorto	L	16	2.36117e-05	16	0.000157581
absorva	L	47	6.93594e-05	47	0.000462895
absorvam	L	12	1.77088e-05	12	0.000118186
absorve	L	173	0.000255302	166	0.0016349
absorvem	L	80	0.000118059	74	0.000728813
absorvendo	L	81	0.000119534	79	0.000778057
absorvente	L	162	0.000239069	92	0.000906091
absorventes	L	267	0.00039402	121	0.00119171
absorver	L	533	0.000786565	495	0.00487517
absorverá	L	16	2.36117e-05	16	0.000157581
absorveram	L	17	2.50874e-05	17	0.00016743
absorveu	L	52	7.6738e-05	52	0.000512139
absorvida	L	91	0.000134292	87	0.000856847
absorvidas	L	48	7.08351e-05	47	0.000462895
absorvido	L	135	0.000199224	130	0.00128035
absorvidos	L	102	0.000150525	98	0.000965184
abstém	L	12	1.77088e-05	12	0.000118186
abstenção	L	729	0.00107581	622	0.00612597
abstenções	L	228	0.000336467	190	0.00187128
abstendo-se	LH	11	1.6233e-05	11	0.000108337
abstenha	L	63	9.29711e-05	61	0.000600778
abstenham	L	35	5.16506e-05	33	0.000325011
abster	L	106	0.000156428	100	0.000984882
abster-se	LH	32	4.72234e-05	32	0.000315162
absteve	L	61	9.00196e-05	57	0.000561383
abstinência	L	164	0.00024202	124	0.00122125
abstiveram	L	58	8.55924e-05	57	0.000561383
abstivesse	L	17	2.50874e-05	15	0.000147732
abstração	L	57	8.41167e-05	46	0.000453046
abstrações	L	17	2.50874e-05	16	0.000157581
abstrair	L	17	2.50874e-05	16	0.000157581
abstrata	L	89	0.00013134	80	0.000787906
abstratamente	L	12	1.77088e-05	12	0.000118186
abstratas	L	38	5.60778e-05	38	0.000374255
abstrato	L	116	0.000171185	104	0.00102428
abstratos	L	47	6.93594e-05	46	0.000453046
absurda	L	582	0.000858876	535	0.00526912
absurdamente	L	124	0.000182991	118	0.00116216
absurdas	L	301	0.000444195	276	0.00271827
absurdo	L	1468	0.00216637	1318	0.0129807
absurdos	L	341	0.000503224	321	0.00316147
ABTO	U	15	2.2136e-05	11	0.000108337
Abu	S	589	0.000869206	361	0.00355542
Abud	S	17	2.50874e-05	12	0.000118186
Abujamra	S	16	2.36117e-05	12	0.000118186
Abumani	S	32	4.72234e-05	29	0.000285616
abundam	L	22	3.24661e-05	22	0.000216674
abundância	L	287	0.000423535	263	0.00259024
abundante	L	166	0.000244971	162	0.00159551
abundantes	L	99	0.000146097	98	0.000965184
abusa	L	135	0.000199224	129	0.0012705
abusada	L	166	0.000244971	150	0.00147732
abusadas	L	84	0.000123961	71	0.000699266
abusado	L	120	0.000177088	108	0.00106367
abusador	L	256	0.000377787	206	0.00202886
abusadores	L	66	9.73983e-05	56	0.000551534
abusados	L	24	3.54176e-05	24	0.000236372
abusam	L	59	8.70682e-05	59	0.00058108
abusando	L	99	0.000146097	98	0.000965184
abusar	L	296	0.000436817	268	0.00263948
